,accel_x,accel_y,accel_z,rpm,speed_kmph,maf,map,iat,eng_load,eng_coolant_temp,fuel_level,on_time,timestamp_ms,vehicle_id,make,model,timestamp_utc
1282,,,,759,0,757,,39,61,139,125,4,1.56E+12,C_f42acfa01b52c500,Chevrolet,Suburban,6/6/19 13:07
1292,,,,750,0,1035,,39,86,139,125,5,1.56E+12,C_f42acfa01b52c500,Chevrolet,Suburban,6/6/19 13:07
1396,,,,876,1,1787,,,135,,132,15,1.56E+12,C_f42acfa01b52c500,Chevrolet,Suburban,6/6/19 13:07
1500,,,,1047,22,852,,,54,,113,25,1.56E+12,C_f42acfa01b52c500,Chevrolet,Suburban,6/6/19 13:07
1600,,,,1616,16,4462,,,177,,84,35,1.56E+12,C_f42acfa01b52c500,Chevrolet,Suburban,6/6/19 13:07
1700,,,,1058,44,811,,,50,,128,45,1.56E+12,C_f42acfa01b52c500,Chevrolet,Suburban,6/6/19 13:07
1800,,,,782,16,751,,,60,,83,55,1.56E+12,C_f42acfa01b52c500,Chevrolet,Suburban,6/6/19 13:07
1900,,,,537,0,639,,34,53,132,118,65,1.56E+12,C_f42acfa01b52c500,Chevrolet,Suburban,6/6/19 13:08
2000,,,,518,0,643,,,53,,119,75,1.56E+12,C_f42acfa01b52c500,Chevrolet,Suburban,6/6/19 13:08
2100,,,,521,0,637,,,53,,117,85,1.56E+12,C_f42acfa01b52c500,Chevrolet,Suburban,6/6/19 13:08
2200,,,,524,0,645,,,54,,113,95,1.56E+12,C_f42acfa01b52c500,Chevrolet,Suburban,6/6/19 13:08
2295,,,,594,1,2005,,,167,,116,105,1.56E+12,C_f42acfa01b52c500,Chevrolet,Suburban,6/6/19 13:08
2385,,,,1558,14,3737,,,153,,83,115,1.56E+12,C_f42acfa01b52c500,Chevrolet,Suburban,6/6/19 13:08
2468,,,,1604,47,5371,,33,215,132,144,125,1.56E+12,C_f42acfa01b52c500,Chevrolet,Suburban,6/6/19 13:09
2548,,,,763,34,684,,,55,,77,135,1.56E+12,C_f42acfa01b52c500,Chevrolet,Suburban,6/6/19 13:09
