event_type,latitude,longitude,timestamp_ms,g_force,timestamp_utc,vin_trunc,vehicle_id
hard_accel,34.09675,-118.36984,1560741315756,0.36823085,2019-06-17 03:15:15,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.09522,-118.37278,1560741342756,0.42488176,2019-06-17 03:15:42,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.09476,-118.374825,1560741352756,0.50985813,2019-06-17 03:15:52,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.09457,-118.37571,1560741357756,0.42488176,2019-06-17 03:15:57,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.09457,-118.37571,1560741361756,0.3399054,2019-06-17 03:16:01,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.09433,-118.37639,1560741455756,0.39655632,2019-06-17 03:17:35,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.098053,-118.3618,1560742271756,0.3399054,2019-06-17 03:31:11,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.09697,-118.344124,1560742467756,0.42488176,2019-06-17 03:34:27,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.099358,-118.29833,1560743099756,0.4532072,2019-06-17 03:44:59,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.10173,-118.310524,1560743320756,0.3399054,2019-06-17 03:48:40,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.1025,-118.33743,1560743778756,0.4532072,2019-06-17 03:56:18,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.1025,-118.33743,1560743780756,0.3112687,2019-06-17 03:56:20,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.1025,-118.33743,1560743914756,0.31157994,2019-06-17 03:58:34,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.101555,-118.337234,1560799597756,0.4532072,2019-06-17 19:26:37,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.101555,-118.337234,1560799600756,0.4532072,2019-06-17 19:26:40,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.101574,-118.33743,1560799764756,0.36823085,2019-06-17 19:29:24,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.101574,-118.33743,1560799770756,0.39655632,2019-06-17 19:29:30,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.10164,-118.32464,1560799917756,0.39655632,2019-06-17 19:31:57,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.10165,-118.323395,1560799930756,0.3399054,2019-06-17 19:32:10,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.10167,-118.31818,1560800046756,0.42488176,2019-06-17 19:34:06,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.1017,-118.31448,1560800131756,0.31157994,2019-06-17 19:35:31,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.101723,-118.31115,1560800180756,0.3399054,2019-06-17 19:36:20,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.1022,-118.30927,1560800204756,0.36823085,2019-06-17 19:36:44,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.1022,-118.30927,1560800207756,0.36823085,2019-06-17 19:36:47,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.101727,-118.31125,1560801301956,0.31157994,2019-06-17 19:55:01,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.10169,-118.31571,1560801417956,0.4532072,2019-06-17 19:56:57,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.10231,-118.31674,1560801427956,0.48153266,2019-06-17 19:57:07,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.10156,-118.3362,1560801802956,0.3399054,2019-06-17 20:03:22,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.101887,-118.33743,1560801891956,0.31157994,2019-06-17 20:04:51,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.10211,-118.33743,1560801906956,0.3399054,2019-06-17 20:05:06,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.101845,-118.33743,1560802305956,0.39655632,2019-06-17 20:11:45,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.101707,-118.33743,1560802441956,0.3399054,2019-06-17 20:14:01,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.10155,-118.33732,1560802448956,0.48153266,2019-06-17 20:14:08,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.080387,-118.31354,1560804188956,0.3399054,2019-06-17 20:43:08,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.07556,-118.3136,1560804230956,0.42488176,2019-06-17 20:43:50,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.07306,-118.31359,1560804267956,0.31157994,2019-06-17 20:44:27,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.06726,-118.31408,1560804353956,0.31157994,2019-06-17 20:45:53,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.063587,-118.31406,1560804413956,0.39655632,2019-06-17 20:46:53,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.06801,-118.30912,1560804948956,0.3399054,2019-06-17 20:55:48,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.07669,-118.30917,1560805043956,0.31157994,2019-06-17 20:57:23,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.076843,-118.30917,1560805055956,0.39655632,2019-06-17 20:57:35,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.077473,-118.30918,1560805061956,0.39655632,2019-06-17 20:57:41,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.077526,-118.30918,1560805093956,0.4532072,2019-06-17 20:58:13,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.083267,-118.30915,1560805126956,0.31157994,2019-06-17 20:58:46,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.083416,-118.30915,1560805183956,0.4532072,2019-06-17 20:59:43,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.08362,-118.31355,1560805230956,0.50985813,2019-06-17 21:00:30,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.089928,-118.31355,1560805449956,0.3399054,2019-06-17 21:04:09,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.090927,-118.31356,1560805504956,0.31157994,2019-06-17 21:05:04,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.09807,-118.31347,1560805569956,0.3399054,2019-06-17 21:06:09,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.100395,-118.31147,1560805643956,0.4532072,2019-06-17 21:07:23,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.101284,-118.31147,1560805649956,0.36823085,2019-06-17 21:07:29,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.101627,-118.31147,1560805698956,0.31157994,2019-06-17 21:08:18,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.10175,-118.303246,1560807753956,0.566509,2019-06-17 21:42:33,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.10175,-118.303246,1560807759956,0.39655632,2019-06-17 21:42:39,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.090775,-118.331276,1560477834100,0.31157994,2019-06-14 02:03:54,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.092422,-118.33096,1560477856100,0.36823085,2019-06-14 02:04:16,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.10501,-118.332214,1560478274100,0.3399054,2019-06-14 02:11:14,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.10504,-118.332306,1560478283100,0.36823085,2019-06-14 02:11:23,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.10518,-118.33717,1560478377100,0.36823085,2019-06-14 02:12:57,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.123768,-118.3422,1560478635100,0.42488176,2019-06-14 02:17:15,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.16538,-118.48565,1560479673100,0.31157994,2019-06-14 02:34:33,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.171986,-118.518715,1560479898100,0.3399054,2019-06-14 02:38:18,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.165234,-118.492,1560521963300,0.3399054,2019-06-14 14:19:23,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.10799,-118.33079,1560523036300,0.39655632,2019-06-14 14:37:16,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.09078,-118.33238,1560564832200,0.3399054,2019-06-15 02:13:52,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.098198,-118.32947,1560565382200,0.3399054,2019-06-15 02:23:02,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.17903,-118.52735,1560567345200,0.42488176,2019-06-15 02:55:45,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.172638,-118.52736,1560567401200,0.3399054,2019-06-15 02:56:41,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.16935,-118.59514,1560567675200,0.3399054,2019-06-15 03:01:15,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.169952,-118.596954,1560567781200,0.31157994,2019-06-15 03:03:01,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.1724,-118.597275,1560567803200,0.31157994,2019-06-15 03:03:23,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.18718,-118.60037,1560569476900,0.31157994,2019-06-15 03:31:16,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.186947,-118.60124,1560569502900,0.3399054,2019-06-15 03:31:42,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.185753,-118.6035,1560569624900,0.31157994,2019-06-15 03:33:44,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.253677,-118.815674,1560631091800,0.3399054,2019-06-15 20:38:11,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.149284,-118.66946,1560639509800,0.36823085,2019-06-15 22:58:29,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.16884,-118.61205,1560639712800,0.31157994,2019-06-15 23:01:52,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.168613,-118.607475,1560639757800,0.39655632,2019-06-15 23:02:37,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.16846,-118.60432,1560639776800,0.3399054,2019-06-15 23:02:56,wba8e1g3xhn,C_d62dce2b2885016b
