event_type,latitude,longitude,timestamp_ms,g_force,timestamp_utc,vin_trunc,vehicle_id
hard_accel,33.951027,-116.59404,1560889340100,0.36823085,2019-06-18 20:22:20,yv4a22pl6g1,C_98240c1586ea6779
hard_accel,33.93169,-116.82547,1560890296100,0.3399054,2019-06-18 20:38:16,yv4a22pl6g1,C_98240c1586ea6779
hard_accel,33.93169,-116.82547,1560890296100,0.3399054,2019-06-18 20:38:16,yv4a22pl6g1,C_98240c1586ea6779
hard_brake,34.066742,-117.33198,1560891952100,0.31157994,2019-06-18 21:05:52,yv4a22pl6g1,C_98240c1586ea6779
hard_brake,34.066742,-117.33198,1560891952100,0.31157994,2019-06-18 21:05:52,yv4a22pl6g1,C_98240c1586ea6779
hard_brake,34.07627,-118.348656,1560898363100,0.36823085,2019-06-18 22:52:43,yv4a22pl6g1,C_98240c1586ea6779
hard_brake,34.07627,-118.348656,1560898363100,0.36823085,2019-06-18 22:52:43,yv4a22pl6g1,C_98240c1586ea6779
hard_accel,34.070194,-118.3511,1560898517100,0.36823085,2019-06-18 22:55:17,yv4a22pl6g1,C_98240c1586ea6779
hard_accel,34.070194,-118.3511,1560898517100,0.36823085,2019-06-18 22:55:17,yv4a22pl6g1,C_98240c1586ea6779
hard_brake,34.07019,-118.3511,1560898544100,0.31157994,2019-06-18 22:55:44,yv4a22pl6g1,C_98240c1586ea6779
hard_brake,34.07019,-118.3511,1560898544100,0.31157994,2019-06-18 22:55:44,yv4a22pl6g1,C_98240c1586ea6779
hard_accel,34.057583,-118.36027,1560898839100,0.31157994,2019-06-18 23:00:39,yv4a22pl6g1,C_98240c1586ea6779
hard_accel,34.057583,-118.36027,1560898839100,0.31157994,2019-06-18 23:00:39,yv4a22pl6g1,C_98240c1586ea6779
hard_brake,34.05787,-118.36192,1560898864100,0.31157994,2019-06-18 23:01:04,yv4a22pl6g1,C_98240c1586ea6779
hard_brake,34.05787,-118.36192,1560898864100,0.31157994,2019-06-18 23:01:04,yv4a22pl6g1,C_98240c1586ea6779
hard_brake,34.05527,-118.38694,1560899116100,0.31157994,2019-06-18 23:05:16,yv4a22pl6g1,C_98240c1586ea6779
hard_brake,34.05527,-118.38694,1560899116100,0.31157994,2019-06-18 23:05:16,yv4a22pl6g1,C_98240c1586ea6779
hard_accel,34.05527,-118.38702,1560899122100,0.3399054,2019-06-18 23:05:22,yv4a22pl6g1,C_98240c1586ea6779
hard_accel,34.05527,-118.38702,1560899122100,0.3399054,2019-06-18 23:05:22,yv4a22pl6g1,C_98240c1586ea6779
hard_brake,34.05527,-118.38702,1560899155100,0.36823085,2019-06-18 23:05:55,yv4a22pl6g1,C_98240c1586ea6779
hard_brake,34.05527,-118.38702,1560899155100,0.36823085,2019-06-18 23:05:55,yv4a22pl6g1,C_98240c1586ea6779
hard_accel,34.09086,-118.29617,1560866123156,0.31157994,2019-06-18 13:55:23,wauffafl8fn,C_983a39047c4cff92
hard_brake,34.072243,-118.46778,1560822189556,0.31157994,2019-06-18 01:43:09,5npet46c79h,C_a26f59a74a35ece4
hard_brake,34.07622,-118.44451,1560822479557,0.39695325,2019-06-18 01:47:59,5npet46c79h,C_a26f59a74a35ece4
hard_accel,34.076805,-118.444145,1560822482556,0.31189185,2019-06-18 01:48:02,5npet46c79h,C_a26f59a74a35ece4
hard_brake,34.07716,-118.44344,1560822492556,0.36823085,2019-06-18 01:48:12,5npet46c79h,C_a26f59a74a35ece4
hard_brake,34.07991,-118.42299,1560822752556,0.36823085,2019-06-18 01:52:32,5npet46c79h,C_a26f59a74a35ece4
hard_brake,34.07821,-118.417404,1560822810556,0.31157994,2019-06-18 01:53:30,5npet46c79h,C_a26f59a74a35ece4
hard_brake,34.073597,-118.412994,1560822866556,0.31157994,2019-06-18 01:54:26,5npet46c79h,C_a26f59a74a35ece4
hard_accel,34.073265,-118.41253,1560822870556,0.31157994,2019-06-18 01:54:30,5npet46c79h,C_a26f59a74a35ece4
hard_accel,34.07169,-118.409546,1560822898556,0.31157994,2019-06-18 01:54:58,5npet46c79h,C_a26f59a74a35ece4
hard_accel,34.0697,-118.40684,1560822994556,0.3399054,2019-06-18 01:56:34,5npet46c79h,C_a26f59a74a35ece4
hard_accel,34.067616,-118.40185,1560823600456,0.31157994,2019-06-18 02:06:40,5npet46c79h,C_a26f59a74a35ece4
