event_type,latitude,longitude,timestamp_ms,g_force,timestamp_utc,vin_trunc,vehicle_id
hard_brake,34.043835,-118.431816,1561098372600,0.3399054,2019-06-21 06:26:12,5n1md28y02c,C_776d91ebf3bc0926
hard_brake,34.20436,-118.59744,1561097225000,0.36823085,2019-06-21 06:07:05,1fafp4441xf,C_7af523e1b6539356
hard_accel,34.182922,-118.60148,1561146496700,0.39655632,2019-06-21 19:48:16,1fafp4441xf,C_7af523e1b6539356
hard_accel,34.109768,-118.21341,1561137239000,0.4532072,2019-06-21 17:13:59,wa1wgbfp0da,C_8220f0951a24d090
hard_accel,34.09627,-118.20706,1561138097400,0.31157994,2019-06-21 17:28:17,wa1wgbfp0da,C_8220f0951a24d090
hard_brake,34.09388,-118.209015,1561138125400,0.3399054,2019-06-21 17:28:45,wa1wgbfp0da,C_8220f0951a24d090
hard_accel,34.09396,-118.20636,1561138179400,0.42488176,2019-06-21 17:29:39,wa1wgbfp0da,C_8220f0951a24d090
hard_brake,34.0713,-118.23541,1561138345400,0.31157994,2019-06-21 17:32:25,wa1wgbfp0da,C_8220f0951a24d090
hard_accel,34.06829,-118.25699,1561138618400,0.36823085,2019-06-21 17:36:58,wa1wgbfp0da,C_8220f0951a24d090
hard_brake,34.080074,-118.29092,1561138900400,0.36823085,2019-06-21 17:41:40,wa1wgbfp0da,C_8220f0951a24d090
hard_brake,34.078506,-118.2917,1561138949400,0.31157994,2019-06-21 17:42:29,wa1wgbfp0da,C_8220f0951a24d090
hard_brake,34.078087,-118.2917,1561138955400,0.3399054,2019-06-21 17:42:35,wa1wgbfp0da,C_8220f0951a24d090
hard_accel,34.077934,-118.2917,1561138985400,0.53818357,2019-06-21 17:43:05,wa1wgbfp0da,C_8220f0951a24d090
hard_accel,34.07634,-118.291916,1561138998400,0.36823085,2019-06-21 17:43:18,wa1wgbfp0da,C_8220f0951a24d090
hard_accel,34.076324,-118.292946,1561139029400,0.42488176,2019-06-21 17:43:49,wa1wgbfp0da,C_8220f0951a24d090
hard_brake,34.07626,-118.30769,1561139239400,0.3399054,2019-06-21 17:47:19,wa1wgbfp0da,C_8220f0951a24d090
hard_brake,34.076256,-118.30817,1561139265400,0.3399054,2019-06-21 17:47:45,wa1wgbfp0da,C_8220f0951a24d090
hard_accel,34.07625,-118.308945,1561139332400,0.42488176,2019-06-21 17:48:52,wa1wgbfp0da,C_8220f0951a24d090
hard_accel,34.057022,-118.3378,1561146859400,0.3399054,2019-06-21 19:54:19,wa1wgbfp0da,C_8220f0951a24d090
hard_accel,34.036587,-118.31578,1561147345400,0.36823085,2019-06-21 20:02:25,wa1wgbfp0da,C_8220f0951a24d090
hard_brake,34.03486,-118.29157,1561147498400,0.3399054,2019-06-21 20:04:58,wa1wgbfp0da,C_8220f0951a24d090
hard_brake,34.035793,-118.284,1561153660600,0.31157994,2019-06-21 21:47:40,wa1wgbfp0da,C_8220f0951a24d090
hard_brake,34.082592,-118.22356,1561154624600,0.31157994,2019-06-21 22:03:44,wa1wgbfp0da,C_8220f0951a24d090
hard_brake,34.083267,-118.223175,1561154634600,0.3399054,2019-06-21 22:03:54,wa1wgbfp0da,C_8220f0951a24d090
hard_brake,34.02197,-118.39615,1561076304900,0.31157994,2019-06-21 00:18:24,1fmcu49h77k,C_88af4a7351fde403
hard_brake,34.034004,-118.32362,1561124332300,0.31157994,2019-06-21 13:38:52,1gcgsbeaxj1,C_89389877d839539b
hard_accel,33.983936,-118.358215,1561125313800,0.3399054,2019-06-21 13:55:13,1gcgsbeaxj1,C_89389877d839539b
hard_accel,33.971745,-118.35751,1561125513800,0.31157994,2019-06-21 13:58:33,1gcgsbeaxj1,C_89389877d839539b
hard_brake,33.962406,-118.36392,1561125791800,0.31157994,2019-06-21 14:03:11,1gcgsbeaxj1,C_89389877d839539b
hard_brake,33.964096,-118.36396,1561125808800,0.31157994,2019-06-21 14:03:28,1gcgsbeaxj1,C_89389877d839539b
hard_brake,33.96434,-118.361984,1561125828800,0.31157994,2019-06-21 14:03:48,1gcgsbeaxj1,C_89389877d839539b
hard_brake,33.96437,-118.359856,1561125849800,0.31157994,2019-06-21 14:04:09,1gcgsbeaxj1,C_89389877d839539b
hard_accel,33.96437,-118.359726,1561125859800,0.31157994,2019-06-21 14:04:19,1gcgsbeaxj1,C_89389877d839539b
hard_brake,33.964417,-118.355354,1561125892800,0.36823085,2019-06-21 14:04:52,1gcgsbeaxj1,C_89389877d839539b
hard_accel,33.9711,-118.37723,1561129116200,0.3399054,2019-06-21 14:58:36,1gcgsbeaxj1,C_89389877d839539b
hard_brake,33.94602,-118.37007,1561145548500,0.31157994,2019-06-21 19:32:28,1gcgsbeaxj1,C_89389877d839539b
