event_type,latitude,longitude,timestamp_ms,g_force,timestamp_utc,vin_trunc,vehicle_id
hard_accel,34.09801,-118.350334,1561231113356,0.48153266,2019-06-22 19:18:33,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.09802,-118.35191,1561231120356,0.42488176,2019-06-22 19:18:40,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.09803,-118.35447,1561231153356,0.36823085,2019-06-22 19:19:13,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.09803,-118.35447,1561231156356,0.33787814,2019-06-22 19:19:16,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.09805,-118.35628,1561231160356,0.39655632,2019-06-22 19:19:20,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.09793,-118.368004,1561231366356,0.53818357,2019-06-22 19:22:46,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.0945,-118.3761,1561231452356,0.48153266,2019-06-22 19:24:12,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.09448,-118.37609,1561231699356,0.31157994,2019-06-22 19:28:19,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.09448,-118.37609,1561231701356,0.3399054,2019-06-22 19:28:21,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.09516,-118.373,1561231744356,0.42488176,2019-06-22 19:29:04,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.09797,-118.34068,1561232192356,0.42488176,2019-06-22 19:36:32,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.098,-118.32742,1561232625356,0.42488176,2019-06-22 19:43:45,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.098,-118.326096,1561232646356,0.31157994,2019-06-22 19:44:06,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.09806,-118.31787,1561232736356,0.4532072,2019-06-22 19:45:36,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.09806,-118.3165,1561232739356,0.31157994,2019-06-22 19:45:39,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.09808,-118.31208,1561232783356,0.31157994,2019-06-22 19:46:23,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.098804,-118.31147,1561232793356,0.39655632,2019-06-22 19:46:33,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.100716,-118.31147,1561232828356,0.31157994,2019-06-22 19:47:08,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.10153,-118.31147,1561232831356,0.31157994,2019-06-22 19:47:11,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.10173,-118.31023,1561233726356,0.31157994,2019-06-22 20:02:06,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.104713,-118.30929,1561234302356,0.3399054,2019-06-22 20:11:42,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.104733,-118.30929,1561234315356,0.3399054,2019-06-22 20:11:55,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.10539,-118.31149,1561234464356,0.50985813,2019-06-22 20:14:24,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.10537,-118.313324,1561234474356,0.31157994,2019-06-22 20:14:34,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.10527,-118.31551,1561234499356,0.42488176,2019-06-22 20:14:59,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.10527,-118.31728,1561234512356,0.31157994,2019-06-22 20:15:12,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_accel,34.10526,-118.320526,1561234607356,0.31157994,2019-06-22 20:16:47,wddwj8hb9jf,C_cb4b959ad502e2f0
hard_brake,34.090786,-118.33078,1560869444200,0.36823085,2019-06-18 14:50:44,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.09076,-118.3332,1560908945800,0.31157994,2019-06-19 01:49:05,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.090824,-118.331894,1560909212800,0.3399054,2019-06-19 01:53:32,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.092255,-118.33162,1560909228800,0.31157994,2019-06-19 01:53:48,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.101254,-118.328865,1560909899800,0.31157994,2019-06-19 02:04:59,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.10158,-118.3283,1560909929800,0.31157994,2019-06-19 02:05:29,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.10202,-118.32824,1560909939800,0.3399054,2019-06-19 02:05:39,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.10369,-118.32708,1560910103800,0.31157994,2019-06-19 02:08:23,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.1039,-118.3259,1560910117800,0.3399054,2019-06-19 02:08:37,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.105015,-118.32527,1560910227800,0.4532072,2019-06-19 02:10:27,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.105015,-118.32527,1560910232800,0.39655632,2019-06-19 02:10:32,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.10543,-118.32504,1560910239800,0.39655632,2019-06-19 02:10:39,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.105244,-118.32514,1560910263800,0.36823085,2019-06-19 02:11:03,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.106533,-118.32805,1560910420800,0.3399054,2019-06-19 02:13:40,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.155453,-118.440636,1560910857800,0.3399054,2019-06-19 02:20:57,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.159508,-118.464035,1560910991800,0.31157994,2019-06-19 02:23:11,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.15712,-118.44897,1560953898300,0.31157994,2019-06-19 14:18:18,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.15442,-118.39196,1560954367300,0.31157994,2019-06-19 14:26:07,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.08894,-118.33347,1560996184500,0.36823085,2019-06-20 02:03:04,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.08894,-118.33347,1560996301500,0.31157994,2019-06-20 02:05:01,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.08894,-118.33347,1560996417500,0.3399054,2019-06-20 02:06:57,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.10853,-118.32983,1560997001500,0.31157994,2019-06-20 02:16:41,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.111477,-118.33377,1560997172500,0.3399054,2019-06-20 02:19:32,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.17151,-118.51744,1560998105500,0.31157994,2019-06-20 02:35:05,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.17179,-118.51856,1560998120500,0.36823085,2019-06-20 02:35:20,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.167374,-118.49507,1561040141900,0.31157994,2019-06-20 14:15:41,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.13474,-118.358284,1561041344900,0.31157994,2019-06-20 14:35:44,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.092712,-118.331,1561041963900,0.31157994,2019-06-20 14:46:03,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.097694,-118.3385,1561083952900,0.31157994,2019-06-21 02:25:52,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.09855,-118.338524,1561084096900,0.3399054,2019-06-21 02:28:16,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.11445,-118.33632,1561084523900,0.3399054,2019-06-21 02:35:23,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.12738,-118.34544,1561084604900,0.3399054,2019-06-21 02:36:44,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.179157,-118.52787,1561085829900,0.31157994,2019-06-21 02:57:09,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.172546,-118.51021,1561125824400,0.50985813,2019-06-21 14:03:44,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.172474,-118.50276,1561125907400,0.31157994,2019-06-21 14:05:07,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.167168,-118.493225,1561126044400,0.39655632,2019-06-21 14:07:24,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.15446,-118.39833,1561126501400,0.39655632,2019-06-21 14:15:01,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.146194,-118.37086,1561126699400,0.3399054,2019-06-21 14:18:19,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.13686,-118.36311,1561126863400,0.48153266,2019-06-21 14:21:03,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.132107,-118.35324,1561126932400,0.3399054,2019-06-21 14:22:12,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.132107,-118.35324,1561126935400,0.3399054,2019-06-21 14:22:15,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.090446,-118.326645,1561127451400,0.31157994,2019-06-21 14:30:51,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.09059,-118.33868,1561168590000,0.36823085,2019-06-22 01:56:30,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.090767,-118.338684,1561168662000,0.31157994,2019-06-22 01:57:42,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.104202,-118.33713,1561168949000,0.31157994,2019-06-22 02:02:29,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.10464,-118.33777,1561168998000,0.3399054,2019-06-22 02:03:18,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.108513,-118.33673,1561169056000,0.31157994,2019-06-22 02:04:16,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.15562,-118.44034,1561169597000,0.31157994,2019-06-22 02:13:17,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.17038,-118.500305,1561170038000,0.31157994,2019-06-22 02:20:38,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.17146,-118.51751,1561170132000,0.566509,2019-06-22 02:22:12,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.171715,-118.51832,1561170143000,0.31157994,2019-06-22 02:22:23,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.17148,-118.52059,1561217517300,0.3399054,2019-06-22 15:31:57,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.171494,-118.51933,1561217539300,0.48153266,2019-06-22 15:32:19,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.171547,-118.51473,1561217557300,0.36823085,2019-06-22 15:32:37,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.16539,-118.492065,1561217753300,0.39655632,2019-06-22 15:35:53,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.073833,-118.46345,1561218367300,0.42488176,2019-06-22 15:46:07,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.075115,-118.457726,1561230246200,0.36823085,2019-06-22 19:04:06,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.07372,-118.46614,1561230308200,0.31157994,2019-06-22 19:05:08,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.074226,-118.46706,1561230317200,0.3399054,2019-06-22 19:05:17,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.074295,-118.46711,1561230323200,0.7364617,2019-06-22 19:05:23,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.07936,-118.47122,1561230428200,0.4532072,2019-06-22 19:07:08,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.08751,-118.47466,1561230494200,0.39655632,2019-06-22 19:08:14,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.095455,-118.474945,1561230587200,0.36823085,2019-06-22 19:09:47,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.12519,-118.47611,1561230840200,0.3399054,2019-06-22 19:14:00,wba8e1g3xhn,C_d62dce2b2885016b
hard_accel,34.147713,-118.46958,1561230952200,0.42488176,2019-06-22 19:15:52,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.147713,-118.46958,1561230954200,0.36823085,2019-06-22 19:15:54,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.168217,-118.49704,1561231420200,0.39655632,2019-06-22 19:23:40,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.17628,-118.5974,1561244540500,0.3399054,2019-06-22 23:02:20,wba8e1g3xhn,C_d62dce2b2885016b
hard_brake,34.21893,-119.14402,1561224834000,0.3399054,2019-06-22 17:33:54,jn1ev7ap0hm,C_d7cecc091eb22647
hard_brake,34.217762,-119.15412,1561225820100,0.3399054,2019-06-22 17:50:20,jn1ev7ap0hm,C_d7cecc091eb22647
hard_brake,34.217762,-119.15412,1561225859100,0.4532072,2019-06-22 17:50:59,jn1ev7ap0hm,C_d7cecc091eb22647
hard_accel,34.0981,-118.342,1561162994800,0.3399054,2019-06-22 00:23:14,1c4rjfn98jc,C_da4a393707152bc6
hard_accel,34.097633,-118.36853,1561163361800,0.36823085,2019-06-22 00:29:21,1c4rjfn98jc,C_da4a393707152bc6
hard_brake,34.09064,-118.38719,1561163547800,0.31157994,2019-06-22 00:32:27,1c4rjfn98jc,C_da4a393707152bc6
hard_accel,34.09061,-118.39103,1561163633800,0.31157994,2019-06-22 00:33:53,1c4rjfn98jc,C_da4a393707152bc6
hard_accel,34.0906,-118.39201,1561163644800,0.31157994,2019-06-22 00:34:04,1c4rjfn98jc,C_da4a393707152bc6
hard_accel,34.08475,-118.39768,1561163760800,0.4532072,2019-06-22 00:36:00,1c4rjfn98jc,C_da4a393707152bc6
hard_accel,34.080864,-118.396225,1561163792800,0.31157994,2019-06-22 00:36:32,1c4rjfn98jc,C_da4a393707152bc6
