event_type,latitude,longitude,timestamp_ms,g_force,timestamp_utc,vin_trunc,vehicle_id
hard_accel,33.812958,-118.08127,1561415233700,0.39655632,2019-06-24 22:27:13,1c4rjfn98jc,C_da4a393707152bc6
hard_accel,33.893253,-118.104576,1561415534700,0.42488176,2019-06-24 22:32:14,1c4rjfn98jc,C_da4a393707152bc6
hard_brake,33.902485,-118.1051,1561415638700,0.31157994,2019-06-24 22:33:58,1c4rjfn98jc,C_da4a393707152bc6
hard_accel,33.903202,-118.10513,1561415660700,0.31157994,2019-06-24 22:34:20,1c4rjfn98jc,C_da4a393707152bc6
hard_brake,33.907604,-118.10499,1561415696700,0.36823085,2019-06-24 22:34:56,1c4rjfn98jc,C_da4a393707152bc6
hard_accel,33.90814,-118.104965,1561415715700,0.3399054,2019-06-24 22:35:15,1c4rjfn98jc,C_da4a393707152bc6
hard_brake,33.915237,-118.10466,1561415812700,0.36823085,2019-06-24 22:36:52,1c4rjfn98jc,C_da4a393707152bc6
hard_accel,33.91606,-118.10463,1561415826700,0.31157994,2019-06-24 22:37:06,1c4rjfn98jc,C_da4a393707152bc6
hard_brake,33.91611,-118.10463,1561415831700,0.31157994,2019-06-24 22:37:11,1c4rjfn98jc,C_da4a393707152bc6
hard_brake,33.92263,-118.10427,1561415932700,0.36823085,2019-06-24 22:38:52,1c4rjfn98jc,C_da4a393707152bc6
hard_accel,34.012062,-118.1625,1561416524700,0.3399054,2019-06-24 22:48:44,1c4rjfn98jc,C_da4a393707152bc6
hard_accel,34.02429,-118.20266,1561416701700,0.6514854,2019-06-24 22:51:41,1c4rjfn98jc,C_da4a393707152bc6
hard_accel,34.04863,-118.24495,1561417139700,0.3399054,2019-06-24 22:58:59,1c4rjfn98jc,C_da4a393707152bc6
hard_accel,34.05216,-118.24893,1561417332700,0.4532072,2019-06-24 23:02:12,1c4rjfn98jc,C_da4a393707152bc6
hard_accel,34.054985,-118.254265,1561417389700,0.3399054,2019-06-24 23:03:09,1c4rjfn98jc,C_da4a393707152bc6
hard_accel,34.05816,-118.261284,1561417483700,0.6514854,2019-06-24 23:04:43,1c4rjfn98jc,C_da4a393707152bc6
hard_brake,34.058544,-118.26148,1561417487700,0.3399054,2019-06-24 23:04:47,1c4rjfn98jc,C_da4a393707152bc6
hard_brake,34.060368,-118.26032,1561417499700,0.3399054,2019-06-24 23:04:59,1c4rjfn98jc,C_da4a393707152bc6
hard_accel,34.061707,-118.25956,1561417524700,0.3399054,2019-06-24 23:05:24,1c4rjfn98jc,C_da4a393707152bc6
