event_type,latitude,longitude,timestamp_ms,g_force,timestamp_utc,vin_trunc,vehicle_id
hard_accel,34.042793,-118.3648,1561490716500,0.36823085,2019-06-25 19:25:16,2c3cdzbt2hh,C_8fb973d29059311a
hard_accel,34.039986,-118.369675,1561490789500,0.3399054,2019-06-25 19:26:29,2c3cdzbt2hh,C_8fb973d29059311a
hard_accel,34.03133,-118.39586,1561491314500,0.31157994,2019-06-25 19:35:14,2c3cdzbt2hh,C_8fb973d29059311a
hard_accel,34.031265,-118.3912,1561491366500,0.31157994,2019-06-25 19:36:06,2c3cdzbt2hh,C_8fb973d29059311a
hard_accel,34.03172,-118.38924,1561491430500,0.4532072,2019-06-25 19:37:10,2c3cdzbt2hh,C_8fb973d29059311a
hard_accel,34.048737,-118.33702,1561492219500,0.42488176,2019-06-25 19:50:19,2c3cdzbt2hh,C_8fb973d29059311a
hard_accel,34.04873,-118.33574,1561492258500,0.36823085,2019-06-25 19:50:58,2c3cdzbt2hh,C_8fb973d29059311a
hard_accel,34.07108,-118.33851,1561498999500,0.31157994,2019-06-25 21:43:19,2c3cdzbt2hh,C_8fb973d29059311a
hard_accel,34.094418,-118.34156,1561499369500,0.3399054,2019-06-25 21:49:29,2c3cdzbt2hh,C_8fb973d29059311a
hard_accel,34.09617,-118.34156,1561499395500,0.59483445,2019-06-25 21:49:55,2c3cdzbt2hh,C_8fb973d29059311a
hard_accel,34.07594,-118.33864,1561501657500,0.39655632,2019-06-25 22:27:37,2c3cdzbt2hh,C_8fb973d29059311a
hard_accel,34.06201,-118.33352,1561501976500,0.3399054,2019-06-25 22:32:56,2c3cdzbt2hh,C_8fb973d29059311a
hard_accel,34.050518,-118.33405,1561503726000,0.36823085,2019-06-25 23:02:06,2c3cdzbt2hh,C_8fb973d29059311a
hard_accel,34.055767,-118.39575,1561416638900,0.3399054,2019-06-24 22:50:38,yv4a22pl6g1,C_98240c1586ea6779
hard_brake,34.05253,-118.3921,1561416723900,0.31157994,2019-06-24 22:52:03,yv4a22pl6g1,C_98240c1586ea6779
hard_accel,34.0464,-118.39023,1561430541900,0.31157994,2019-06-25 02:42:21,yv4a22pl6g1,C_98240c1586ea6779
hard_brake,34.0523,-118.39972,1561430620900,0.31157994,2019-06-25 02:43:40,yv4a22pl6g1,C_98240c1586ea6779
hard_brake,34.052452,-118.401695,1561430647900,0.31157994,2019-06-25 02:44:07,yv4a22pl6g1,C_98240c1586ea6779
