event_type,latitude,longitude,timestamp_ms,g_force,timestamp_utc,vin_trunc,vehicle_id
hard_brake,34.155098,-118.29407,1561519283256,0.3399054,2019-06-26 03:21:23,5npet46c79h,C_a26f59a74a35ece4
hard_accel,34.15513,-118.29392,1561519290256,0.42488176,2019-06-26 03:21:30,5npet46c79h,C_a26f59a74a35ece4
hard_accel,34.158558,-118.29663,1561519333256,0.39655632,2019-06-26 03:22:13,5npet46c79h,C_a26f59a74a35ece4
hard_brake,34.161037,-118.300064,1561519360256,0.31157994,2019-06-26 03:22:40,5npet46c79h,C_a26f59a74a35ece4
hard_brake,34.17764,-118.30867,1561519511256,0.36823085,2019-06-26 03:25:11,5npet46c79h,C_a26f59a74a35ece4
hard_accel,34.17879,-118.309074,1561519546256,0.3399054,2019-06-26 03:25:46,5npet46c79h,C_a26f59a74a35ece4
hard_brake,34.18232,-118.30535,1561519578256,0.36823085,2019-06-26 03:26:18,5npet46c79h,C_a26f59a74a35ece4
hard_accel,34.182472,-118.30518,1561519640256,0.42488176,2019-06-26 03:27:20,5npet46c79h,C_a26f59a74a35ece4
hard_brake,34.184376,-118.30317,1561519665256,0.31157994,2019-06-26 03:27:45,5npet46c79h,C_a26f59a74a35ece4
hard_accel,34.184822,-118.30271,1561519668256,0.31157994,2019-06-26 03:27:48,5npet46c79h,C_a26f59a74a35ece4
hard_accel,34.182808,-118.302895,1561524550256,0.31157994,2019-06-26 04:49:10,5npet46c79h,C_a26f59a74a35ece4
hard_accel,34.18226,-118.30214,1561524563256,0.31157994,2019-06-26 04:49:23,5npet46c79h,C_a26f59a74a35ece4
hard_accel,34.180992,-118.30327,1561524630256,0.31157994,2019-06-26 04:50:30,5npet46c79h,C_a26f59a74a35ece4
hard_accel,34.163586,-118.297714,1561524799256,0.31157994,2019-06-26 04:53:19,5npet46c79h,C_a26f59a74a35ece4
hard_accel,34.158638,-118.296745,1561524892256,0.3399054,2019-06-26 04:54:52,5npet46c79h,C_a26f59a74a35ece4
hard_brake,34.15348,-118.36705,1561525165256,0.31157994,2019-06-26 04:59:25,5npet46c79h,C_a26f59a74a35ece4
hard_brake,34.152695,-118.36739,1561525215256,0.3399054,2019-06-26 05:00:15,5npet46c79h,C_a26f59a74a35ece4
hard_brake,34.15232,-118.36976,1561525238256,0.31157994,2019-06-26 05:00:38,5npet46c79h,C_a26f59a74a35ece4
hard_brake,34.14104,-118.37032,1561525324256,0.31157994,2019-06-26 05:02:04,5npet46c79h,C_a26f59a74a35ece4
hard_brake,34.1551,-118.29408,1561540391956,0.3399054,2019-06-26 09:13:11,5npet46c79h,C_a26f59a74a35ece4
hard_brake,34.165253,-118.294556,1561540501956,0.31157994,2019-06-26 09:15:01,5npet46c79h,C_a26f59a74a35ece4
hard_brake,34.177917,-118.30902,1561540592956,0.31157994,2019-06-26 09:16:32,5npet46c79h,C_a26f59a74a35ece4
hard_accel,34.18306,-118.30606,1561569286956,0.31157994,2019-06-26 17:14:46,5npet46c79h,C_a26f59a74a35ece4
hard_brake,34.174488,-118.316956,1561569852656,0.39655632,2019-06-26 17:24:12,5npet46c79h,C_a26f59a74a35ece4
hard_accel,34.15467,-118.33883,1561570229656,0.3399054,2019-06-26 17:30:29,5npet46c79h,C_a26f59a74a35ece4
hard_brake,34.156662,-118.46616,1561570870656,0.31157994,2019-06-26 17:41:10,5npet46c79h,C_a26f59a74a35ece4
hard_accel,34.14957,-118.46757,1561571119656,0.31157994,2019-06-26 17:45:19,5npet46c79h,C_a26f59a74a35ece4
hard_brake,34.135643,-118.487144,1561571301656,0.3399054,2019-06-26 17:48:21,5npet46c79h,C_a26f59a74a35ece4
hard_brake,34.123882,-118.47872,1561571426656,0.36823085,2019-06-26 17:50:26,5npet46c79h,C_a26f59a74a35ece4
hard_accel,34.123768,-118.47878,1561571445656,0.3399054,2019-06-26 17:50:45,5npet46c79h,C_a26f59a74a35ece4
