event_type,latitude,longitude,timestamp_ms,g_force,timestamp_utc,vin_trunc,vehicle_id
hard_brake,34.06907,-118.35332,1561702596200,0.31157994,2019-06-28 06:16:36,wddhf7gbxfb,C_2c85391de4e99d37
hard_accel,34.06859,-118.35357,1561702603200,0.31157994,2019-06-28 06:16:43,wddhf7gbxfb,C_2c85391de4e99d37
hard_brake,34.0682,-118.3531,1561702611200,0.42488176,2019-06-28 06:16:51,wddhf7gbxfb,C_2c85391de4e99d37
hard_accel,34.069317,-118.3511,1561705995200,0.3399054,2019-06-28 07:13:15,wddhf7gbxfb,C_2c85391de4e99d37
hard_accel,34.069817,-118.350624,1561706003200,0.42488176,2019-06-28 07:13:23,wddhf7gbxfb,C_2c85391de4e99d37
hard_brake,34.06889,-118.34517,1561706029200,0.31157994,2019-06-28 07:13:49,wddhf7gbxfb,C_2c85391de4e99d37
hard_accel,34.0689,-118.34414,1561706063200,0.3399054,2019-06-28 07:14:23,wddhf7gbxfb,C_2c85391de4e99d37
hard_accel,34.0689,-118.3404,1561706085200,0.31157994,2019-06-28 07:14:45,wddhf7gbxfb,C_2c85391de4e99d37
hard_brake,34.06891,-118.33917,1561706090200,0.4532072,2019-06-28 07:14:50,wddhf7gbxfb,C_2c85391de4e99d37
hard_accel,34.075993,-118.3385,1561706141200,0.3399054,2019-06-28 07:15:41,wddhf7gbxfb,C_2c85391de4e99d37
hard_accel,34.083668,-118.33859,1561706212200,0.3399054,2019-06-28 07:16:52,wddhf7gbxfb,C_2c85391de4e99d37
hard_brake,34.09052,-118.33859,1561706258200,0.31157994,2019-06-28 07:17:38,wddhf7gbxfb,C_2c85391de4e99d37
hard_brake,34.09249,-118.331,1561706317200,0.3399054,2019-06-28 07:18:37,wddhf7gbxfb,C_2c85391de4e99d37
hard_brake,34.09753,-118.33103,1561706357200,0.31157994,2019-06-28 07:19:17,wddhf7gbxfb,C_2c85391de4e99d37
hard_brake,34.098,-118.34624,1561707337200,0.31157994,2019-06-28 07:35:37,wddhf7gbxfb,C_2c85391de4e99d37
hard_brake,34.095463,-118.37217,1561707549200,0.3399054,2019-06-28 07:39:09,wddhf7gbxfb,C_2c85391de4e99d37
hard_accel,34.094585,-118.37469,1561710622200,0.566509,2019-06-28 08:30:22,wddhf7gbxfb,C_2c85391de4e99d37
hard_accel,34.098053,-118.36171,1561710757200,0.42488176,2019-06-28 08:32:37,wddhf7gbxfb,C_2c85391de4e99d37
hard_accel,34.09798,-118.33827,1561710916200,0.36823085,2019-06-28 08:35:16,wddhf7gbxfb,C_2c85391de4e99d37
hard_accel,34.09799,-118.32967,1561710978200,0.39655632,2019-06-28 08:36:18,wddhf7gbxfb,C_2c85391de4e99d37
hard_brake,34.09801,-118.32448,1561711014200,0.42488176,2019-06-28 08:36:54,wddhf7gbxfb,C_2c85391de4e99d37
hard_accel,34.09237,-118.338615,1561712173200,0.31157994,2019-06-28 08:56:13,wddhf7gbxfb,C_2c85391de4e99d37
hard_brake,34.069416,-118.33864,1561712368200,0.31157994,2019-06-28 08:59:28,wddhf7gbxfb,C_2c85391de4e99d37
hard_accel,34.06892,-118.338844,1561712377200,0.31157994,2019-06-28 08:59:37,wddhf7gbxfb,C_2c85391de4e99d37
hard_accel,34.069736,-118.35495,1561712540200,0.31157994,2019-06-28 09:02:20,wddhf7gbxfb,C_2c85391de4e99d37
hard_brake,34.069374,-118.35451,1561712705200,0.3399054,2019-06-28 09:05:05,wddhf7gbxfb,C_2c85391de4e99d37
hard_accel,34.07003,-118.35477,1561712739200,0.31157994,2019-06-28 09:05:39,wddhf7gbxfb,C_2c85391de4e99d37
hard_brake,34.06898,-118.31277,1561713020200,0.39655632,2019-06-28 09:10:20,wddhf7gbxfb,C_2c85391de4e99d37
hard_brake,34.060947,-118.26809,1561713392200,0.48153266,2019-06-28 09:16:32,wddhf7gbxfb,C_2c85391de4e99d37
hard_accel,34.06062,-118.2673,1561713402200,0.36823085,2019-06-28 09:16:42,wddhf7gbxfb,C_2c85391de4e99d37
hard_brake,34.056553,-118.25805,1561713461200,0.36823085,2019-06-28 09:17:41,wddhf7gbxfb,C_2c85391de4e99d37
hard_accel,34.055256,-118.25787,1561713476200,0.31157994,2019-06-28 09:17:56,wddhf7gbxfb,C_2c85391de4e99d37
hard_brake,34.0534,-118.25953,1561713494200,0.31157994,2019-06-28 09:18:14,wddhf7gbxfb,C_2c85391de4e99d37
