event_type,latitude,longitude,timestamp_ms,g_force,timestamp_utc,vin_trunc,vehicle_id
hard_brake,34.130756,-118.26902,1561828666900,0.3399054,2019-06-29 17:17:46,jtdkdtb30c1,C_066dfe868533bfbb
hard_brake,34.1117,-118.288475,1561832091900,0.48153266,2019-06-29 18:14:51,jtdkdtb30c1,C_066dfe868533bfbb
hard_accel,34.110046,-118.297516,1561832163900,0.3399054,2019-06-29 18:16:03,jtdkdtb30c1,C_066dfe868533bfbb
hard_brake,34.10539,-118.29935,1561832251900,0.36823085,2019-06-29 18:17:31,jtdkdtb30c1,C_066dfe868533bfbb
hard_accel,34.095234,-118.30042,1561832381900,0.3399054,2019-06-29 18:19:41,jtdkdtb30c1,C_066dfe868533bfbb
hard_accel,34.09075,-118.32225,1561832998900,0.36823085,2019-06-29 18:29:58,jtdkdtb30c1,C_066dfe868533bfbb
hard_brake,34.093838,-118.304634,1561848049500,0.31157994,2019-06-29 22:40:49,jtdkdtb30c1,C_066dfe868533bfbb
hard_brake,34.09433,-118.34199,1561848723500,0.36823085,2019-06-29 22:52:03,jtdkdtb30c1,C_066dfe868533bfbb
hard_accel,34.092827,-118.37586,1561849130500,0.31157994,2019-06-29 22:58:50,jtdkdtb30c1,C_066dfe868533bfbb
hard_accel,34.249878,-118.4737,1561779955700,0.31157994,2019-06-29 03:45:55,2t1ku40e89c,C_0a60bccbebddc920
hard_accel,34.25047,-118.45057,1561780110700,0.31157994,2019-06-29 03:48:30,2t1ku40e89c,C_0a60bccbebddc920
hard_accel,34.226536,-118.433235,1561780354700,0.31157994,2019-06-29 03:52:34,2t1ku40e89c,C_0a60bccbebddc920
hard_accel,34.222,-118.432594,1561780411700,0.36823085,2019-06-29 03:53:31,2t1ku40e89c,C_0a60bccbebddc920
hard_brake,34.23547,-118.58978,1561737490300,0.36823085,2019-06-28 15:58:10,1vwbp7a30cc,C_0bba3c59fba23b5d
hard_accel,34.16294,-118.29156,1561750069800,0.31157994,2019-06-28 19:27:49,5tdka3dc0cs,C_11c51f18e63f0fea
hard_accel,34.158752,-118.296684,1561750126800,0.31157994,2019-06-28 19:28:46,5tdka3dc0cs,C_11c51f18e63f0fea
hard_accel,34.16789,-118.32299,1561752528800,0.31157994,2019-06-28 20:08:48,5tdka3dc0cs,C_11c51f18e63f0fea
hard_brake,34.168148,-118.32221,1561752544800,0.42488176,2019-06-28 20:09:04,5tdka3dc0cs,C_11c51f18e63f0fea
hard_brake,34.156,-118.29417,1561767680800,0.4532072,2019-06-29 00:21:20,5tdka3dc0cs,C_11c51f18e63f0fea
hard_accel,34.18678,-118.39693,1561768768800,0.31157994,2019-06-29 00:39:28,5tdka3dc0cs,C_11c51f18e63f0fea
hard_accel,34.201157,-118.37946,1561822446500,0.3399054,2019-06-29 15:34:06,5tdka3dc0cs,C_11c51f18e63f0fea
hard_accel,34.083065,-118.32367,1561843729100,0.31157994,2019-06-29 21:28:49,jtdkdtb35c1,C_19c2308db11e28e5
hard_accel,34.08347,-118.33017,1561843875100,0.36823085,2019-06-29 21:31:15,jtdkdtb35c1,C_19c2308db11e28e5
